Transaction_ID,Amount,Hour,Customer_Age,Previous_Transactions,Distance_From_Last_Transaction,Device_Changed,International,Fraud
TX_000001,1875.83,22,33,25,11.69,0,1,0
TX_000002,4753.82,3,59,81,574.29,0,0,0
TX_000003,3661.31,17,76,46,893.04,0,0,0
TX_000004,2995.3,4,42,15,217.84,0,0,0
TX_000005,784.31,15,34,69,926.77,0,0,0
TX_000006,784.19,13,56,17,97.61,0,0,0
TX_000007,295.13,18,30,21,825.44,0,0,0
TX_000008,4331.55,13,45,53,840.32,0,0,0
TX_000009,3007.57,8,28,55,257.76,0,0,0
TX_000010,3541.82,5,27,87,957.84,1,1,1
TX_000011,107.82,16,56,10,416.6,0,0,0
TX_000012,4849.7,18,41,81,141.26,0,0,0
TX_000013,4163.05,11,55,57,591.71,0,0,0
TX_000014,1065.63,3,41,65,996.61,0,1,0
TX_000015,913.22,15,50,37,899.29,0,0,0
TX_000016,921.11,10,34,7,278.6,0,0,0
TX_000017,1524.69,21,74,76,576.99,0,0,0
TX_000018,2626.16,3,61,40,115.37,1,0,0
TX_000019,2162.57,16,53,50,461.84,0,0,0
TX_000020,1459.69,7,52,1,523.07,0,0,0
TX_000021,3061.21,13,23,20,315.28,0,0,0
TX_000022,701.77,1,75,31,484.19,0,0,0
TX_000023,1464.26,10,77,68,919.94,0,0,0
TX_000024,1834.98,10,33,90,500.14,1,0,0
TX_000025,2283.07,23,62,12,830.99,0,0,0
TX_000026,3926.95,21,45,22,317.39,0,0,0
TX_000027,1002.37,23,58,1,971.4,0,0,0
TX_000028,2573.6,5,49,1,93.46,0,0,0
TX_000029,2964.11,20,43,3,585.59,0,0,0
TX_000030,237.02,20,28,76,789.89,0,0,0
TX_000031,3039.69,13,69,21,814.04,0,1,0
TX_000032,856.77,9,42,13,198.28,0,0,0
TX_000033,329.93,7,48,61,401.65,0,1,0
TX_000034,4744.68,6,38,13,624.2,0,1,0
TX_000035,4828.33,7,62,82,315.88,0,0,0
TX_000036,4042.94,7,72,33,658.3,0,0,0
TX_000037,1526.55,22,68,6,378.78,0,0,0
TX_000038,492.87,1,20,25,350.87,0,0,0
TX_000039,3422.74,15,29,23,108.07,0,0,0
TX_000040,2203.56,8,68,88,39.25,1,0,0
TX_000041,614.58,12,57,26,835.27,0,0,0
TX_000042,2478.41,22,63,4,489.54,0,0,0
TX_000043,176.77,11,71,35,562.87,0,0,0
TX_000044,4547.06,21,58,75,372.22,0,0,0
TX_000045,1297.61,16,42,25,136.74,0,0,0
TX_000046,3314.3,1,73,20,449.57,1,0,0
TX_000047,1562.0,12,34,1,228.96,0,0,0
TX_000048,2602.74,0,55,94,837.68,1,0,0
TX_000049,2735.82,18,53,68,986.79,1,0,0
TX_000050,928.35,10,53,23,889.1,1,0,0
TX_000051,4848.08,4,36,99,528.27,0,0,0
TX_000052,3876.79,0,61,22,628.13,0,0,0
TX_000053,4697.8,19,74,95,948.12,0,0,0
TX_000054,4474.66,12,19,62,538.68,0,0,0
TX_000055,2991.51,7,34,1,638.59,0,0,0
TX_000056,4609.76,5,47,59,629.23,0,0,0
TX_000057,447.02,16,64,68,708.12,1,0,0
TX_000058,983.93,11,27,19,640.29,0,0,0
TX_000059,230.91,0,52,30,670.71,0,0,0
TX_000060,1630.03,2,78,1,725.89,0,0,0
TX_000061,1946.44,13,69,48,809.1,0,0,0
TX_000062,1360.39,7,53,19,403.05,0,0,0
TX_000063,4144.54,10,71,52,745.83,0,1,0
TX_000064,1786.98,13,50,85,100.2,0,0,0
TX_000065,1408.27,7,18,22,876.19,1,0,0
TX_000066,2715.77,2,35,50,290.04,0,0,0
TX_000067,708.92,6,21,66,403.46,0,0,0
TX_000068,4011.97,18,72,6,803.61,0,0,0
TX_000069,377.38,3,71,64,636.99,1,0,0
TX_000070,4934.5,15,64,21,308.63,1,0,0
TX_000071,3862.36,12,44,97,225.4,0,0,0
TX_000072,997.58,19,42,19,957.71,1,0,0
TX_000073,32.58,18,72,91,87.78,0,0,0
TX_000074,4078.23,4,45,37,4.34,1,0,0
TX_000075,3535.75,22,70,63,672.93,0,0,0
TX_000076,3646.39,4,39,29,614.47,0,0,0
TX_000077,3857.5,19,59,60,737.61,1,0,0
TX_000078,374.85,23,42,92,731.63,0,0,0
TX_000079,1795.54,3,34,34,863.26,1,0,0
TX_000080,583.77,1,76,1,922.11,0,0,0
TX_000081,4316.2,12,74,48,775.02,0,0,0
TX_000082,3118.37,15,71,89,232.29,0,0,0
TX_000083,1657.84,21,61,21,463.5,0,0,0
TX_000084,322.47,1,69,34,641.72,1,0,0
TX_000085,1558.36,18,29,26,539.37,0,0,0
TX_000086,1629.29,16,33,36,158.9,0,0,0
TX_000087,3649.38,4,54,99,589.27,0,1,0
TX_000088,3189.6,17,78,23,886.53,0,0,0
TX_000089,4436.63,22,33,81,418.52,0,0,0
TX_000090,2363.71,20,34,47,668.93,0,0,0
TX_000091,602.37,17,72,76,615.93,0,0,0
TX_000092,3567.66,7,78,44,377.04,0,0,0
TX_000093,3805.12,14,48,20,565.27,1,0,0
TX_000094,2808.58,12,32,27,210.21,0,0,0
TX_000095,3855.98,12,30,61,546.11,0,0,0
TX_000096,2471.51,15,57,37,798.83,1,0,0
TX_000097,2616.05,21,44,84,758.95,0,0,0
TX_000098,2140.57,19,38,52,357.95,0,0,0
TX_000099,131.97,12,19,75,112.09,0,0,0
TX_000100,543.92,19,25,92,799.94,0,0,0
TX_000101,161.99,1,59,62,265.04,0,1,0
TX_000102,3183.87,2,24,66,53.04,0,0,0
TX_000103,1575.21,14,27,24,445.19,0,0,0
TX_000104,2545.31,22,74,80,739.47,0,0,0
TX_000105,4538.29,18,21,12,808.49,0,1,0
TX_000106,1250.21,12,60,16,982.2,0,0,0
TX_000107,2054.86,4,58,36,189.41,0,0,0
TX_000108,3778.98,21,53,2,293.79,0,0,0
TX_000109,1147.85,5,52,89,609.49,0,0,0
TX_000110,389.51,13,60,62,811.34,0,0,0
TX_000111,1452.31,3,20,64,234.08,0,0,0
TX_000112,810.3,21,75,29,409.91,0,0,0
TX_000113,4648.84,18,35,92,408.4,0,0,0
TX_000114,4041.56,22,75,74,772.94,0,0,0
TX_000115,3168.85,6,68,87,240.93,0,0,0
TX_000116,4357.95,3,63,96,968.76,0,0,0
TX_000117,4019.34,1,73,31,510.46,0,0,0
TX_000118,936.92,6,60,83,282.07,0,0,0
TX_000119,4463.33,2,41,15,284.28,0,0,0
TX_000120,2699.01,14,49,55,18.3,1,0,0
TX_000121,4038.16,0,51,33,692.43,0,0,0
TX_000122,4480.98,1,76,81,775.95,0,1,1
TX_000123,1593.43,9,19,52,32.43,0,0,0
TX_000124,554.71,15,19,20,585.93,0,0,0
TX_000125,1143.54,14,27,73,781.67,0,0,0
TX_000126,2138.4,23,40,38,376.24,0,0,0
TX_000127,4090.98,14,32,3,432.74,0,0,0
TX_000128,4304.35,13,71,54,361.62,0,0,0
TX_000129,39.73,21,29,66,315.65,0,1,0
TX_000130,2556.18,13,60,18,491.14,0,0,0
TX_000131,2089.97,5,34,87,166.1,0,1,0
TX_000132,1114.43,13,35,83,440.69,0,0,0
TX_000133,603.73,16,31,7,941.83,0,0,0
TX_000134,1691.39,17,34,35,27.4,0,0,0
TX_000135,4714.83,19,32,84,164.74,0,0,0
TX_000136,1619.4,18,29,84,777.7,0,0,0
TX_000137,2596.36,16,76,83,132.06,1,0,0
TX_000138,3516.58,15,33,80,271.28,0,1,0
TX_000139,1821.33,7,49,85,454.84,0,0,0
TX_000140,4859.05,6,40,93,943.16,0,0,0
TX_000141,4812.42,19,55,60,183.5,0,1,0
TX_000142,1262.65,11,51,24,923.08,0,0,0
TX_000143,2488.76,8,51,93,718.52,0,0,0
TX_000144,1507.89,13,33,95,671.14,0,0,0
TX_000145,1427.78,19,51,39,723.54,0,0,0
TX_000146,189.25,0,57,12,31.25,0,0,0
TX_000147,3049.77,9,79,94,98.9,0,0,0
TX_000148,2515.88,16,24,53,334.84,0,0,0
TX_000149,262.14,16,50,64,73.97,0,0,0
TX_000150,1396.84,16,21,4,987.59,0,0,0
TX_000151,4541.79,3,60,94,580.41,0,1,1
TX_000152,1201.61,16,69,5,487.34,0,1,0
TX_000153,728.75,17,24,16,785.51,0,0,0
TX_000154,2449.82,19,35,27,976.96,0,0,0
TX_000155,4928.32,22,21,4,955.13,0,1,1
TX_000156,1214.07,1,66,72,793.06,1,0,0
TX_000157,3362.32,7,78,48,377.17,0,0,0
TX_000158,3809.29,12,78,8,65.96,0,0,0
TX_000159,1192.0,22,28,81,98.38,0,0,0
TX_000160,3642.44,21,60,46,1.15,0,0,0
TX_000161,1842.08,19,37,44,1.9,0,0,0
